职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
【留学生】C/C++开发工程师_上海,上海·浦东新区·金桥,华为技术有限公司,20-35K,本科,在校/应届,计算机软件
服务端开发工程师-.net-Choice（2021春招）,上海,东方财富集团,15-25K·16薪,本科,在校/应届,证券/期货
Java游戏服务端开发,上海·闵行区·七宝,免免,5-10K,本科,在校/应届,游戏
【华为无线22届校招】C/C++开发,上海·浦东新区·金桥,华为技术有限公司,15-25K·15薪,本科,在校/应届,计算机软件
服务端开发,上海·浦东新区·联洋,淘宝,20-24K,硕士,在校/应届,移动互联网
基础软件开发工程师(C/C++）留学生优先,上海·浦东新区·金桥,华为,14-25K,硕士,在校/应届,计算机软件
游戏服务器开发,上海·浦东新区·张江,欢乐互娱,15-25K·14薪,本科,在校/应届,游戏
python服务端开发,上海·徐汇区·田林,友济网络,6-10K·14薪,大专,在校/应届,移动互联网
淘宝消息平台，服务端开发，实习生,上海·浦东新区·联洋,阿里巴巴集团,8-12K,本科,在校/应届,互联网
初级C++服务端程序,上海·嘉定区·南翔,硬壳网络,4-6K·13薪,本科,在校/应届,游戏
服务端开发工程师,上海·徐汇区·漕河泾,网易有道,13-26K,不限,在校/应届学历,互联网
游戏开发工程师 【校招】,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
C/C++软件开发工程师,上海·浦东新区·张江,上海博达,10-15K,本科,在校/应届,通信/网络设备
游戏开发工程师,上海·长宁区·仙霞,友塔游戏,12-20K,本科,在校/应届,游戏
软件开发工程师（C/C++21届）,上海·徐汇区·田林,龙旗科技,10-15K,本科,在校/应届,通信/网络设备
C/C++软件开发工程师,上海,ALE,10-15K,硕士,在校/应届,通信/网络设备
Android开发工程师（c/c++）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
驱动开发工程师（c/c++）,上海·浦东新区·张江,传音控股,3-4K,本科,在校/应届,移动互联网
