职位,工作地址,公司全称,薪水,学历,工作经验,行业标签
NLP算法工程师,上海,建信览智,15-20K,硕士,在校/应届,计算机软件
NLP算法工程师,上海·闵行区·浦江,泛微网络,15-30K·15薪,硕士,在校/应届,计算机软件
无线通信算法工程师,上海·浦东新区·金桥,华为技术有限公司,16-30K,本科,在校/应届,计算机软件
机器学习算法工程师,上海,货拉拉科技,25-50K,本科,在校/应届,互联网
软件算法,上海·浦东新区·金桥,华为,13-26K,本科,在校/应届,计算机软件
通信算法工程师,上海·徐汇区·漕河泾,国科微电子,13-20K,本科,在校/应届,智能硬件
软件工程师（前端，后端，算法）,上海·浦东新区·陆家嘴,阿里巴巴集团,23-30K·16薪,硕士,在校/应届,互联网
通信算法,上海·浦东新区·金桥,华为,16-30K,本科,在校/应届,计算机软件
算法工程师,上海·闵行区·华漕,永辉大科技,14-22K·16薪,硕士,在校/应届,新零售
阿里本地生活-营销推荐算法-实习生内推,上海·普陀区·长征,口碑,20-21K·13薪,硕士,在校/应届,O2O
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
算法工程师,上海·杨浦区·东外滩,XTransfer,10-15K·15薪,本科,在校/应届,互联网金融
无线通信算法工程师,上海·浦东新区·金桥,华为,18-20K·15薪,本科,在校/应届,计算机软件
软件工程师,上海·宝山区·上大,复星长征,7-10K·14薪,本科,在校/应届,医疗健康
NLP算法工程师,上海·松江区·中山,讯牛,10-11K,本科,在校/应届,计算机软件
感知算法开发工程师,上海·闵行区·华漕,合众新能源汽车,10-15K,本科,在校/应届,汽车生产
算法工程师 校招,上海·长宁区·仙霞,拼多多,20-40K·18薪,本科,在校/应届,移动互联网
2021校招-管培生（算法方向）,上海·虹口区·北外滩,维信金科,15-18K,本科,在校/应届,互联网金融
算法工程师,上海·杨浦区·东外滩,达达集团,15-30K,本科,在校/应届,O2O
算法工程师,上海·黄浦区·外滩,百联全渠道,10-15K·13薪,硕士,在校/应届,O2O
研发工程师-开发/算法 (21校招),上海·嘉定区·安亭,PonyAI小马智行,20-40K·16薪,本科,在校/应届,互联网
软件工程师,上海·浦东新区·北蔡,禾苗通信,10-12K·13薪,本科,在校/应届,通信/网络设备
算法工程师（人工智能/智能编解码）,上海·浦东新区·张江,星宸科技股份有限公司,16-20K·14薪,硕士,在校/应届,电子/半导体/集成电路
